title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
Rumah Baru Shm Berbah Dekat Blok O Kota Yogyakarta,Rp 450 Juta,3.0,1.0,1.0,: 85 m²,: 50 m²,"Rumah, Premier",Wisnu Kawiryan,Diperbarui 1 minggu yang lalu oleh,"Berbah, Sleman",/properti/sleman/hos17942223/
Rumah Mewah Furnis Maguwoharjo Dekat Pakuwon Mall Dan Kampus Upn,"Rp 1,75 Miliar",3.0,3.0,2.0,: 124 m²,: 160 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Tempat Wisata",Winata,Diperbarui 4 hari yang lalu oleh,"Depok, Sleman",/properti/sleman/hos18075041/
Rumah Mewah Tengah Kota Dekat Malioboro Yogyakarta,"Rp 2,37 Miliar",3.0,3.0,1.0,: 136 m²,: 150 m²,"Rumah, Premier, Full Furnished",Winata,Diperbarui 4 hari yang lalu oleh,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos15842968/
"Big Sale, Promo 99. Rumah Etnik Desain Joglo 400 Jt An, Shm.",Rp 450 Juta,2.0,1.0,1.0,: 75 m²,: 36 m²,"Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Yunna ciptanugraha,Diperbarui 4 hari yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos18069786/
Bu! Murah! Rumah Induk + Ruang Usaha Dan Kost 32 Kamar Di Jl. Kaliurang Area Kost Kostan Dekat Kampus Uii,Rp 9 Miliar,37.0,34.0,7.0,: 1927 m²,: 1000 m²,"Rumah, Premier, Dekat Sekolah, Dekat Landmark",Nayaka,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17980321/
Rumah Furnished 2 Lantai Dekat Kampus Ugm Sleman Yogya,"Rp 1,6 Miliar",4.0,3.0,3.0,: 200 m²,: 160 m²,"Rumah, Premier, Full Furnished, Dekat Sekolah",Kristina,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17997714/
Rumah Siap Huni Type Luas 73 124 Dekat Rs Bhayangkara Polda Diy,Rp 835 Juta,3.0,1.0,1.0,: 124 m²,: 73 m²,"Rumah, Premier, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",Dika Heiwa Property,Diperbarui 2 minggu yang lalu oleh,"Kalasan, Sleman",/properti/sleman/hos17933418/
"Rumah Baru Di Dekat Polres Sleman, Lapangan Denggung",Rp 562 Juta,2.0,1.0,1.0,: 92 m²,: 53 m²,"Rumah, Premier",Zakia Netra Kencana,Diperbarui 5 hari yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos18060092/
Rumah Kolam Renang Villa Dalam Kota Jogja,Rp 3 Miliar,2.0,3.0,1.0,: 280 m²,: 150 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan",tri indarto,Diperbarui 5 hari yang lalu oleh,"Mantrijeron, Yogyakarta",/properti/yogyakarta/hos6918703/
rumah lokasi strategis,"Rp 2,3 Miliar",3.0,3.0,1.0,: 117 m²,: 180 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan",Sakti Gringsing,Diperbarui 3 minggu yang lalu oleh,"Caturtunggal, Sleman",/properti/sleman/hos17857824/
