index,predicted,actual,error,bedroom,bathroom,LT,LB
90,1148745799.4280176,585000000.0,0.9636680332102865,3.0,2.0,126.0,75.0
91,1148745799.4280176,250000000.0,3.5949831977120703,2.0,1.0,97.0,36.0
92,466351916.4937468,365000000.0,0.27767648354451185,2.0,1.0,81.0,45.0
93,1204714112.8125198,685000000.0,0.7587067340328756,3.0,2.0,95.0,65.0
94,0.0,410000000.0,1.0,2.0,1.0,42.0,80.0
97,390000001.5582394,170000000.0,1.2941176562249377,2.0,1.0,60.0,30.0
99,0.0,950000000.0,1.0,3.0,2.0,80.0,70.0
103,470854363.49363434,375000000.0,0.2556116359830249,2.0,1.0,79.0,48.0
105,472991215.38306934,1290000000.0,0.6333401431138997,4.0,3.0,99.0,105.0
106,472991215.38306934,1290000000.0,0.6333401431138997,4.0,3.0,99.0,105.0
107,471934303.9564272,390000000.0,0.2100879588626339,2.0,1.0,105.0,48.0
108,458269949.26242065,580000000.0,0.20987939782341267,2.0,1.0,78.0,45.0
109,471934303.9564272,390000000.0,0.2100879588626339,2.0,1.0,105.0,48.0
110,458269949.26242065,580000000.0,0.20987939782341267,2.0,1.0,78.0,45.0
111,390000001.48691815,270000000.0,0.4444444499515487,2.0,1.0,63.0,36.0
112,458269949.26242065,580000000.0,0.20987939782341267,2.0,1.0,78.0,45.0
113,470666877.8943938,390000000.0,0.20683814844716358,2.0,1.0,90.0,45.0
114,0.0,900000000.0,1.0,3.0,3.0,104.0,50.0
115,463628736.1606723,597000000.0,0.22340245199217368,2.0,1.0,80.0,45.0
117,1251840694.8237429,550000000.0,1.2760739905886234,3.0,1.0,93.0,60.0
119,0.0,385000000.0,1.0,2.0,1.0,137.0,75.0
120,1177037849.5771656,520000000.0,1.2635343261099339,3.0,2.0,126.0,60.0
121,458269949.26242065,597000000.0,0.2323786444515567,2.0,1.0,78.0,45.0
122,1105620825.5418139,956000000.0,0.1565071396880898,3.0,2.0,118.0,69.0
123,1330799544.7469308,500000000.0,1.6615990894938617,3.0,2.0,88.0,55.0
124,0.0,1200000000.0,1.0,3.0,3.0,112.0,112.0
125,470666877.8943938,390000000.0,0.20683814844716358,2.0,1.0,91.0,45.0
126,0.0,390000000.0,1.0,2.0,1.0,45.0,90.0
127,0.0,389000000.0,1.0,2.0,1.0,45.0,90.0
129,390000001.45908326,285000000.0,0.36842105775116935,2.0,1.0,66.0,36.0
130,1115982165.8070664,585000000.0,0.9076618218924213,3.0,2.0,120.0,75.0
131,390000001.45908326,466000000.0,0.16309012562428485,2.0,1.0,66.0,40.0
132,470666877.8943938,675000000.0,0.3027157364527499,2.0,1.0,94.0,60.0
133,470666877.8943938,295000000.0,0.5954809420148942,2.0,1.0,97.0,36.0
134,0.0,295000000.0,1.0,2.0,1.0,90.0,36.0
135,390000001.45091546,466000000.0,0.16309012564181233,2.0,1.0,67.0,40.0
136,0.0,885000000.0,1.0,3.0,3.0,103.0,118.0
137,1123146281.51124,650000000.0,0.7279173561711385,3.0,1.0,99.0,73.0
139,0.0,850000000.0,1.0,2.0,1.0,90.0,70.0
140,0.0,900000000.0,1.0,3.0,3.0,95.0,110.0
141,0.0,320000000.0,1.0,2.0,1.0,66.0,50.0
142,0.0,875000000.0,1.0,2.0,1.0,120.0,90.0
143,0.0,399000000.0,1.0,2.0,1.0,36.0,85.0
144,0.0,166000000.0,1.0,2.0,1.0,30.0,60.0
145,0.0,299000000.0,1.0,2.0,1.0,36.0,70.0
146,0.0,850000000.0,1.0,2.0,1.0,143.0,70.0
147,390000001.45908326,299000000.0,0.30434783096683365,2.0,1.0,66.0,36.0
151,0.0,395000000.0,1.0,3.0,2.0,70.0,76.0
152,390000001.5198505,285000000.0,0.3684210579643877,2.0,1.0,60.0,36.0
153,390000001.5198505,285000000.0,0.3684210579643877,2.0,1.0,60.0,36.0
154,461134978.4844871,375000000.0,0.22969327595863231,2.0,1.0,79.0,45.0
155,1149382325.9699256,590000000.0,0.9481056372371621,3.0,2.0,85.0,65.0
156,470522810.97704446,637000000.0,0.26134566565613115,3.0,2.0,78.0,55.0
157,470666877.8943938,399000000.0,0.17961623532429524,2.0,1.0,91.0,45.0
158,470522810.97704446,637000000.0,0.26134566565613115,3.0,2.0,78.0,55.0
160,470666877.8943938,390000000.0,0.20683814844716358,2.0,1.0,90.0,45.0
169,470725694.77372056,1290000000.0,0.6350963606405268,4.0,3.0,99.0,105.0
170,470666877.8943938,399000000.0,0.17961623532429524,2.0,1.0,86.0,45.0
171,470666877.8943938,1240000000.0,0.6204299371819405,4.0,3.0,99.0,105.0
172,463628736.1606723,395000000.0,0.17374363584980332,2.0,1.0,80.0,45.0
173,390000001.5582394,170000000.0,1.2941176562249377,2.0,1.0,60.0,30.0
174,1105019750.0814297,895000000.0,0.23465893863846896,3.0,2.0,100.0,70.0
176,1093135170.2880917,585000000.0,0.8686071286975926,3.0,2.0,103.0,70.0
177,1331000000.0007513,650000000.0,1.0476923076934634,3.0,1.0,86.0,86.0
178,1161982669.258726,665000000.0,0.7473423597875577,3.0,1.0,97.0,65.0
179,1161982669.258726,665000000.0,0.7473423597875577,3.0,1.0,97.0,65.0
180,0.0,745000000.0,1.0,2.0,2.0,67.0,40.0
181,1177037849.5771656,665000000.0,0.7699817286874671,3.0,1.0,97.0,60.0
183,470666877.8943938,399000000.0,0.17961623532429524,2.0,1.0,84.0,45.0
185,1323683085.0251455,625000000.0,1.1178929360402328,3.0,1.0,90.0,60.0
188,1331000000.0002415,960000000.0,0.3864583333335849,3.0,2.0,85.0,75.0
189,1204714112.8125198,550000000.0,1.1903892960227633,3.0,2.0,95.0,65.0
191,0.0,499000000.0,1.0,2.0,1.0,131.0,45.0
192,0.0,399000000.0,1.0,2.0,1.0,45.0,85.0
197,0.0,920000000.0,1.0,3.0,3.0,107.0,121.0
200,0.0,735000000.0,1.0,1.0,1.0,100.0,45.0
201,0.0,647000000.0,1.0,3.0,3.0,74.0,55.0
202,1148745799.4280176,580000000.0,0.9805962059103752,3.0,2.0,126.0,75.0
203,444590549.4320508,553000000.0,0.196038789453796,2.0,1.0,72.0,48.0
204,390000001.7048544,470000000.0,0.17021276233009697,2.0,1.0,80.0,40.0
205,390000001.7048544,470000000.0,0.17021276233009697,2.0,1.0,80.0,40.0
206,390000001.7048544,470000000.0,0.17021276233009697,2.0,1.0,80.0,40.0
207,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
208,390000001.7048544,487000000.0,0.1991786412631326,2.0,1.0,80.0,40.0
209,390000001.7048544,470000000.0,0.17021276233009697,2.0,1.0,80.0,40.0
212,470980823.3354387,700000000.0,0.32717025237794467,2.0,2.0,90.0,54.0
213,446380847.90482485,297000000.0,0.5029658178613632,2.0,1.0,75.0,45.0
214,0.0,600000000.0,1.0,2.0,1.0,60.0,50.0
217,472336024.9818228,390000000.0,0.21111801277390457,2.0,1.0,106.0,48.0
218,0.0,389000000.0,1.0,2.0,1.0,45.0,91.0
219,1330799544.7469306,950000000.0,0.40084162604940066,3.0,2.0,88.0,90.0
220,470666877.8943938,389000000.0,0.2099405601398298,2.0,1.0,90.0,45.0
222,1331000000.0002415,550000000.0,1.4200000000004391,3.0,1.0,85.0,83.0
223,470664520.4667911,335000000.0,0.4049687178113167,2.0,1.0,82.0,46.0
224,1331000000.0005422,2500000000.0,0.46759999999978313,3.0,2.0,163.0,130.0
226,471463919.60693556,1180000000.0,0.6004543054178513,2.0,1.0,103.0,60.0
227,1331000000.0005422,2500000000.0,0.46759999999978313,3.0,2.0,163.0,130.0
