index,predicted,actual,error,bedroom,bathroom,LT,LB
140,0.0,380000000.0,1.0,2.0,1.0,135.0,50.0
141,0.0,566000000.0,1.0,3.0,2.0,90.0,55.0
143,897443740.7052134,730000000.0,0.22937498726741565,3.0,2.0,121.0,80.0
144,575163903.2604104,950000000.0,0.3945643123574627,3.0,1.0,102.0,85.0
146,575123889.1023496,270000000.0,1.1300884781568505,2.0,1.0,60.0,36.0
147,907927972.8403184,1100000000.0,0.1746109337815287,3.0,2.0,99.0,110.0
150,0.0,699000000.0,1.0,2.0,2.0,168.0,98.0
151,0.0,565000000.0,1.0,2.0,1.0,146.0,120.0
153,0.0,675000000.0,1.0,3.0,2.0,90.0,59.0
154,0.0,565000000.0,1.0,2.0,1.0,141.0,120.0
155,899349802.555274,775000000.0,0.16045135813583744,3.0,2.0,105.0,70.0
157,2008211189.8020477,1550000000.0,0.295620122452934,4.0,4.0,120.0,200.0
158,1934262700.0677214,2350000000.0,0.17690948933288453,4.0,4.0,123.0,145.0
159,1842444116.6539624,1590000000.0,0.15876988468802666,4.0,3.0,133.0,125.0
161,0.0,3500000000.0,1.0,7.0,4.0,135.0,225.0
162,1842444116.6539624,1500000000.0,0.22829607776930824,4.0,3.0,133.0,125.0
163,575237624.0332307,750000000.0,0.2330165012890258,3.0,1.0,103.0,60.0
164,896604885.1579379,765000000.0,0.17203252961821947,3.0,2.0,107.0,100.0
165,1928570013.6964958,2400000000.0,0.19642916095979343,4.0,3.0,187.0,135.0
166,1923164819.2392056,2280000000.0,0.1565066582284186,4.0,3.0,186.0,135.0
167,896604885.1579379,1350000000.0,0.33584823321634233,3.0,2.0,107.0,100.0
168,2089432488.2934456,2800000000.0,0.2537741113237694,4.0,3.0,213.0,135.0
169,1982890410.0965173,875000000.0,1.266160468681734,3.0,2.0,121.0,138.0
170,575221600.047634,465000000.0,0.2370356990271699,1.0,1.0,26.0,26.0
171,0.0,1500000000.0,1.0,3.0,2.0,163.0,85.0
172,0.0,425000000.0,1.0,2.0,2.0,91.0,65.0
173,910178356.4759129,1700000000.0,0.46460096677887475,3.0,2.0,98.0,110.0
174,2103500839.2628071,1500000000.0,0.40233389284187143,5.0,3.0,115.0,156.0
175,0.0,1490000000.0,1.0,4.0,3.0,104.0,136.0
178,575123889.1023496,275000000.0,1.091359596735817,2.0,1.0,60.0,40.0
179,898891210.0180929,725000000.0,0.23984994485254188,3.0,2.0,114.0,71.0
180,1934262700.0677214,2350000000.0,0.17690948933288453,4.0,4.0,123.0,145.0
181,0.0,695000000.0,1.0,3.0,2.0,154.0,70.0
182,902579328.6309291,725000000.0,0.24493700500817808,3.0,2.0,104.0,65.0
183,575105804.5766745,450000000.0,0.27801289905927656,2.0,1.0,82.0,50.0
185,575271939.8615881,201000000.0,1.862049452047702,1.0,1.0,20.0,28.0
186,575271939.8615881,199000000.0,1.890813768148684,1.0,1.0,20.0,28.0
