index,predicted,actual,error,bedroom,bathroom,LT,LB
150,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
159,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
161,470666877.8943938,450000000.0,0.04592639532087511,2.0,1.0,91.0,45.0
162,390000002.7325761,399000000.0,0.022556384128882025,2.0,1.0,85.0,36.0
163,390000002.7325761,391000000.0,0.0025575377683476415,2.0,1.0,45.0,90.0
164,390000002.7325761,389000000.0,0.002570701112020751,2.0,1.0,45.0,90.0
165,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,85.0,45.0
166,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,85.0,45.0
167,1301861437.8302224,1270000000.0,0.025087746323009738,3.0,2.0,91.0,100.0
168,470725694.77372056,517000000.0,0.08950542596959273,2.0,1.0,81.0,50.0
175,470725694.77372056,507000000.0,0.07154695310903242,2.0,1.0,81.0,50.0
182,468422930.25489503,425000000.0,0.10217160059975301,2.0,1.0,88.0,50.0
184,471661649.0820805,475000000.0,0.0070281071956200345,2.0,1.0,104.0,50.0
186,471350966.6276087,495000000.0,0.04777582499472986,2.0,1.0,75.0,51.0
187,470491251.852511,485000000.0,0.02991494463399796,2.0,1.0,83.0,55.0
190,471350966.6276087,495000000.0,0.04777582499472986,2.0,1.0,75.0,51.0
193,469835700.7881397,495000000.0,0.05083696810476828,2.0,1.0,85.0,50.0
194,469835700.7881397,495000000.0,0.05083696810476828,2.0,1.0,85.0,50.0
195,469835700.7881397,495000000.0,0.05083696810476828,2.0,1.0,85.0,50.0
196,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,87.0,45.0
198,390000002.3905386,396000000.0,0.015151509114801582,2.0,1.0,84.0,36.0
199,390000002.3905386,414000000.0,0.05797100871850586,2.0,1.0,90.0,36.0
210,463628736.1606723,407000000.0,0.13913694388371575,2.0,1.0,80.0,45.0
211,390000001.98321795,450000000.0,0.13333332892618233,2.0,1.0,60.0,45.0
215,390000002.7325761,395000000.0,0.01265822093018716,2.0,1.0,85.0,36.0
216,390000002.7325761,385000000.0,0.012987020084613174,2.0,1.0,45.0,90.0
221,470666877.8943938,450000000.0,0.04592639532087511,2.0,1.0,91.0,45.0
225,1301861437.8302224,1270000000.0,0.025087746323009738,3.0,2.0,91.0,100.0
241,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
242,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
243,472991215.38306934,425000000.0,0.11292050678369256,2.0,1.0,107.0,55.0
244,390000005.65633136,408000000.0,0.04411763319526627,2.0,1.0,88.0,36.0
249,470504914.8013758,553000000.0,0.14917736925610162,3.0,2.0,72.0,48.0
253,390000001.8171387,340000000.0,0.14705882887393726,2.0,1.0,81.0,36.0
254,1117762554.6660154,1100000000.0,0.016147776969104896,3.0,2.0,100.0,88.0
255,470220071.7808343,499000000.0,0.057675206852035435,2.0,1.0,94.0,46.0
263,469835700.7881397,550000000.0,0.14575327129429144,2.0,1.0,85.0,55.0
266,470220071.7808343,490000000.0,0.0403672004472769,2.0,1.0,91.0,46.0
268,469835700.7881397,550000000.0,0.14575327129429144,2.0,1.0,85.0,48.0
272,1117762554.6660154,1000000000.0,0.11776255466601539,3.0,2.0,100.0,88.0
275,390000002.7325761,399000000.0,0.022556384128882025,2.0,1.0,85.0,36.0
280,471350966.6276087,435000000.0,0.08356544052323843,2.0,1.0,75.0,55.0
289,470504914.8013758,509000000.0,0.07562885107784714,3.0,2.0,72.0,48.0
297,1127447251.050051,990000000.0,0.1388356071212636,3.0,2.0,105.0,90.0
303,1330999999.999822,1400000000.0,0.0492857142858415,3.0,2.0,121.0,130.0
311,1301861437.8302224,1270000000.0,0.025087746323009738,3.0,2.0,91.0,101.0
312,1301861437.8302224,1270000000.0,0.025087746323009738,3.0,2.0,91.0,101.0
317,390000001.7048544,453000000.0,0.13907284391864363,2.0,1.0,80.0,40.0
319,390000001.7048544,453000000.0,0.13907284391864363,2.0,1.0,80.0,40.0
320,390000001.7048544,453000000.0,0.13907284391864363,2.0,1.0,80.0,40.0
321,390000001.7048544,453000000.0,0.13907284391864363,2.0,1.0,80.0,40.0
