title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
"Termurah Di Prambanan Rumah Siap Huni, Legalitas SHM",220000000.0,1.0,1.0,1.0,60.0,21.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",DINA,2025-04-10 15:39:32.498644,"Prambanan, Sleman",/properti/sleman/hos18093253/,Prambanan,Sleman
"Rumah Siap Huni 2 Lantai Dalam Perumahan Di Kasihan, Bantul",1570000000.0,4.0,3.0,2.0,128.0,150.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rozaq Wastu,2025-04-10 15:39:32.498645,"Kasihan, Bantul",/properti/bantul/hos18093236/,Kasihan,Bantul
"Rumah Siap Huni Bagus Dalam Perumahan Di Kasihan, Bantul",1570000000.0,4.0,3.0,2.0,128.0,150.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Aryo Wastu,2025-04-10 15:39:32.498647,"Kasihan, Bantul",/properti/bantul/hos18093188/,Kasihan,Bantul
Rumah Bagus Tanah Super Luas di Sleman,3100000000.0,3.0,3.0,5.0,650.0,350.0,Rumah,Mas Faridl Properti Jogja,2025-04-10 15:39:32.498648,"Mlati, Sleman",/properti/sleman/hos18093185/,Mlati,Sleman
Rumah Mewah Private Poll Dan Fully Furnish Di Purwomartani,3900000000.0,6.0,4.0,2.0,296.0,288.0,"Rumah, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",Bintang Octaviano Wastu,2025-04-10 15:39:32.498650,"Kalasan, Sleman",/properti/sleman/hos18092886/,Kalasan,Sleman
"Rumah Murah 300 Jutaan, 5 Menit Dari Polsek Piyungan",320000000.0,2.0,1.0,0.0,66.0,50.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Tempat Wisata",Riski Wastu,2025-04-10 15:39:32.498651,"Piyungan, Bantul",/properti/bantul/hos18092884/,Piyungan,Bantul
Rumah Baru Modern Jalan Kaliurang Km 13,1080000000.0,3.0,2.0,2.0,147.0,85.0,"Rumah, Dekat Sekolah, Dekat Landmark",Jogjarumahcom yogyakarta,2025-04-10 15:39:32.498653,"Ngaglik, Sleman",/properti/sleman/hos18092804/,Ngaglik,Sleman
Dijual Cepat Rumah 2 Lantai di Utara Bandara Adisutjipto Jogja,1270000000.0,3.0,2.0,1.0,110.0,114.0,"Rumah, Dekat Akses Transportasi, Dekat Tempat Ibadah",Arif Faiza,2025-04-10 15:39:32.498654,"Gondomanan, Yogyakarta",/properti/yogyakarta/hos18092738/,Gondomanan,Yogyakarta
Rumah Baru dalam Perumahan Jakal km 13,969000000.0,3.0,3.0,2.0,102.0,100.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Jogjarumahcom yogyakarta,2025-04-10 15:39:32.498655,"Ngaglik, Sleman",/properti/sleman/hos18092713/,Ngaglik,Sleman
Murah Rumah Strategis Dan Nyaman Diutara Pemda Slema,495000000.0,2.0,1.0,1.0,112.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Hanan,2025-04-10 15:39:32.498656,"Sleman, Yogyakarta",/properti/yogyakarta/hos18092702/,Sleman,Yogyakarta
RUMAH TINGGAL & USAHA MADUGONDO SITIMULYO,700000000.0,4.0,2.0,0.0,167.0,167.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah",YAYAN (LAVO),2025-04-10 15:39:32.498657,"Piyungan, Bantul",/properti/bantul/hos18092639/,Piyungan,Bantul
Rumah Baru dengan Private Pool Palagan,5500000000.0,5.0,6.0,3.0,295.0,400.0,"Rumah, Dekat Tempat Ibadah",Jogjarumahcom yogyakarta,2025-04-10 15:39:32.498658,"Ngaglik, Sleman",/properti/sleman/hos18092599/,Ngaglik,Sleman
