title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
Rumah Baru Siap Huni Dalam Perumahan di Purwomartani Dekat Bandara Adi Sucipto 2 Lantai Rumah Baru,1600000000.0,3.0,3.0,1.0,147.0,135.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Sekolah",Muhlisin panoramicland,2025-03-22 15:39:32.493384,"Ngemplak, Sleman",/properti/sleman/hos14644873/,Ngemplak,Sleman
"Rumah Minimalis Modern Dekat Jl. Hos Cokroaminoto, Wirobrajan , Jogjakarta",2200000000.0,3.0,2.0,0.0,200.0,252.0,Rumah,Anna,2025-03-22 15:39:32.493391,"Sleman, Sleman",/properti/sleman/hos14642322/,Sleman,Sleman
Rumah Cluster Daerah Lempongsari Palagan Dekat Ugm Dan Monjali,2300000000.0,5.0,4.0,2.0,174.0,250.0,"Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Sandi Rifana,2025-03-13 15:39:32.493448,"Ngaglik, Sleman",/properti/sleman/hos14331321/,Ngaglik,Sleman
Rumah dekat UGM di Monjali Lempongsari dekat Ringroad utara pogung,1700000000.0,3.0,3.0,0.0,173.0,160.0,"Rumah, Dekat Sekolah",Optima Property,2025-03-29 15:39:32.493459,"Mlati, Sleman",/properti/sleman/hos14270217/,Mlati,Sleman
Jual Rumah Baru Di Kalasan,2000000000.0,5.0,4.0,1.0,156.0,210.0,Rumah,Andyanto kurniawan,2025-04-07 15:39:32.493460,"Kalasan, Sleman",/properti/sleman/hos14269993/,Kalasan,Sleman
RUMAH BARU VIEW SAWAH DLM CLUSTER DI NGAGLIK SLEMAN,625000000.0,2.0,1.0,1.0,114.0,45.0,Rumah,Ageng Atmoko,2025-03-29 15:39:32.493468,"Ngaglik, Sleman",/properti/sleman/hos14221909/,Ngaglik,Sleman
Rumah Dijual 2 Lantai Dekat Bandara Aau Legalitas SHM,1870000000.0,3.0,3.0,2.0,150.0,110.0,"Rumah, Dekat Akses Transportasi, Dekat Tempat Wisata",DKirana Maison,2025-04-06 15:39:32.493497,"Berbah, Sleman",/properti/sleman/hos14112197/,Berbah,Sleman
Rumah Mewah Jalan Kaliurang Pandanaran dekat Kampus UII,1850000000.0,4.0,3.0,2.0,135.0,165.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Gunawan Widi,2025-04-11 22:39:32.493502,"Ngaglik, Sleman",/properti/sleman/hos14111327/,Ngaglik,Sleman
Hunian Kolam Pribadi Selatan Aau Sleman SHM Dalam Custer,1810000000.0,3.0,2.0,2.0,125.0,100.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",DKirana Maison,2025-04-06 15:39:32.493507,"Berbah, Sleman",/properti/sleman/hos14065477/,Berbah,Sleman
Rumah dijual Jogja Jalan Kaliurang Ngaglik Sleman Yogyakarta,1950000000.0,3.0,3.0,1.0,150.0,100.0,"Rumah, Dekat Sekolah, Dekat Landmark",Santi Property Jogja Realty,2025-03-13 15:39:32.493524,"Ngaglik, Sleman",/properti/sleman/hos14011450/,Ngaglik,Sleman
"Rumah Minimalis Di Perumahan Purwomartani Dekat Maguwo, Tajem",650000000.0,2.0,1.0,0.0,86.0,62.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",MUJI RAHAYU,2025-04-05 15:39:32.493539,"Kalasan, Sleman",/properti/sleman/hos13947785/,Kalasan,Sleman
Rumah Baru Full Furnished Siap Pakai Lokasi di Jl. Kaliurang km 13 Yogyakarta,1920000000.0,5.0,3.0,2.0,175.0,180.0,"Rumah, Full Furnished, Siap Huni, Dekat Sekolah",Wawan Nurpatria,2025-03-22 15:39:32.493554,"Ngaglik, Sleman",/properti/sleman/hos13826881/,Ngaglik,Sleman
Rumah Minimalis Modern Murah Dlm Perum Elit Citra Grand Mutiara,1900000000.0,3.0,2.0,2.0,135.0,106.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",Faza Jogja ID Property,2025-04-05 15:39:32.493563,"Gamping, Sleman",/properti/sleman/hos13820001/,Gamping,Sleman
Rumah Minimalis Murah Kolm Rnang Dlm Perum Lokasi Dkt Rsa Ugm Dan Jcm,2100000000.0,3.0,3.0,0.0,163.0,100.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Faza Jogja ID Property,2025-04-05 15:39:32.493564,"Mlati, Sleman",/properti/sleman/hos13819813/,Mlati,Sleman
"Rumah Lelang Bri, Ngemplak, Sleman",2100000000.0,4.0,4.0,2.0,150.0,252.0,Rumah,Bank BRI,2025-03-22 15:39:32.493602,"Ngemplak, Sleman",/properti/sleman/hos13422516/,Ngemplak,Sleman
Rumah Mewah di Perumahan Elit Citra Sun Garden,1990000000.0,4.0,3.0,0.0,162.0,137.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Retno,2025-04-07 15:39:32.493669,"Kalasan, Sleman",/properti/sleman/hos12501436/,Kalasan,Sleman
Rumah Baru Dekat Kampus Uii Wonosalam Sukoharjo Sleman Yogyakarta,593000000.0,2.0,1.0,0.0,76.0,50.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah",SULISTYO RINI,2025-03-13 15:39:32.493749,"Ngaglik, Sleman",/properti/sleman/hos10675714/,Ngaglik,Sleman
